FileType:PSCS_Data_Log
Description:
StartTime:Jul 23, 2024 3:16:03 PM
Sampling:1S
Record:ID,Voltage(mV),Current(mA)
Rec:260,35900,2920
Rec:261,35900,2920
Rec:262,35900,2920
Rec:263,35900,2920
Rec:264,35900,2920
Rec:265,35900,2920
Rec:266,35900,2920
Rec:267,35900,2920
Rec:268,35900,2920
Rec:269,35900,2920
Rec:270,35900,2920
Rec:271,35900,2920
Rec:272,35900,2920
Rec:273,35900,2920
Rec:274,35900,2920
Rec:275,35900,2920
Rec:276,35900,2920
Rec:277,35900,2920
Rec:278,35900,2920
Rec:279,35900,2920
Rec:280,35900,2920
Rec:281,35900,2920
Rec:282,35900,2920
Rec:283,35900,2920
Rec:284,35900,2920
Rec:285,35900,2920
Rec:286,35900,2920
Rec:287,35900,2920
Rec:288,35900,2920
Rec:289,35900,2920
Rec:290,35900,2920
Rec:291,35900,2920
Rec:292,35900,2920
Rec:293,35900,2920
Rec:294,35900,2920
Rec:295,35900,2920
Rec:296,35900,2920
Rec:297,35900,2920
Rec:298,35900,2920
Rec:299,35900,2920
Rec:300,35900,2920
Rec:301,35900,2920
Rec:302,35900,2920
Rec:303,35900,2920
Rec:304,35900,2920
Rec:305,35900,2920
Rec:306,35900,2920
Rec:307,35900,2920
Rec:308,35900,2920
Rec:309,35900,2920
Rec:310,35900,2920
Rec:311,35900,2920
Rec:312,35900,2920
Rec:313,35900,2920
Rec:314,35900,2920
Rec:315,35900,2920
Rec:316,35900,2920
Rec:317,35900,2920
Rec:318,35900,2920
Rec:319,35900,2920
Rec:320,35900,2920
Rec:321,35900,2920
Rec:322,35900,2920
Rec:323,35900,2920
Rec:324,35900,2920
Rec:325,35900,2920
Rec:326,35900,2920
Rec:327,35900,2920
Rec:328,35900,2920
Rec:329,35900,2920
Rec:330,35900,2920
Rec:331,35900,2920
Rec:332,35900,2920
Rec:333,35900,2920
Rec:334,35900,2920
Rec:335,35900,2920
Rec:336,35900,2920
Rec:337,35900,2920
Rec:338,35900,2920
Rec:339,35900,2920
Rec:340,35900,2920
Rec:341,35900,2920
Rec:342,35900,2920
Rec:343,35900,2920
Rec:344,35900,2920
Rec:345,35900,2920
Rec:346,35900,2920
Rec:347,35900,2920
Rec:348,35900,2920
Rec:349,35900,2920
Rec:350,35900,2920
Rec:351,35900,2920
Rec:352,35900,2920
Rec:353,35900,2920
Rec:354,35900,2920
Rec:355,35900,2920
Rec:356,35900,2920
Rec:357,35900,2920
Rec:358,35900,2920
Rec:359,35900,2920
Rec:360,35900,2920
Rec:361,35900,2920
Rec:362,35900,2920
Rec:363,35900,2920
Rec:364,35900,2920
Rec:365,35900,2920
Rec:366,35900,2920
Rec:367,35900,2920
Rec:368,35900,2920
Rec:369,35900,2920
Rec:370,35900,2920
Rec:371,35900,2920
Rec:372,35900,2920
Rec:373,35900,2920
Rec:374,35900,2920
Rec:375,35900,2920
Rec:376,35900,2920
Rec:377,35900,2920
Rec:378,24000,1990
Rec:379,24000,2010
Rec:380,24000,2010
Rec:381,23900,2010
Rec:382,23900,2020
Rec:383,23900,2020
Rec:384,23900,2020
Rec:385,23900,2020
Rec:386,23900,2020
Rec:387,23900,2020
Rec:388,23900,2020
Rec:389,23900,2020
Rec:390,23900,2020
Rec:391,23900,2020
Rec:392,23900,2020
Rec:393,23900,2020
Rec:394,23900,2020
Rec:395,23900,2020
Rec:396,23900,2020
Rec:397,23900,2020
Rec:398,23900,2020
Rec:399,23900,2020
Rec:400,23900,2020
Rec:401,23900,2020
Rec:402,23900,2020
Rec:403,23900,2020
Rec:404,23900,2020
Rec:405,23900,2020
Rec:406,23900,2020
Rec:407,23900,2020
Rec:408,23900,2020
Rec:409,23900,2020
Rec:410,23900,2020
Rec:411,23900,2020
Rec:412,23900,2020
Rec:413,23900,2020
Rec:414,23900,2020
Rec:415,23900,2020
Rec:416,23900,2020
Rec:417,23900,2020
Rec:418,23900,2020
Rec:419,23900,2020
Rec:420,23900,2020
Rec:421,23900,2020
Rec:422,23900,2020
Rec:423,23900,2020
Rec:424,23900,2020
Rec:425,23900,2020
Rec:426,23900,2020
Rec:427,23900,2020
Rec:428,23900,2020
Rec:429,23900,2020
Rec:430,23900,2020
Rec:431,23900,2020
Rec:432,23900,2020
Rec:433,23900,2020
Rec:434,23900,2020
Rec:435,23900,2020
Rec:436,23900,2020
Rec:437,23900,2020
Rec:438,23900,2020
Rec:439,23900,2020
Rec:440,23900,2020
Rec:441,23900,2020
Rec:442,23900,2020
Rec:443,23900,2020
Rec:444,23900,2020
Rec:445,23900,2020
Rec:446,23900,2020
Rec:447,23900,2020
Rec:448,23900,2020
Rec:449,23900,2020
Rec:450,23900,2020
Rec:451,23900,2020
Rec:452,23900,2020
Rec:453,23900,2020
Rec:454,23900,2020
Rec:455,23900,2020
Rec:456,23900,2020
Rec:457,23900,2020
Rec:458,23900,2020
Rec:459,23900,2020
Rec:460,23900,2020
Rec:461,23900,2020
Rec:462,23900,2020
Rec:463,23900,2020
Rec:464,23900,2020
Rec:465,23900,2020
Rec:466,23900,2020
Rec:467,23900,2020
Rec:468,23900,2020
Rec:469,23900,2020
Rec:470,23900,2020
Rec:471,23900,2020
Rec:472,23900,2020
Rec:473,23900,2020
Rec:474,23900,2020
Rec:475,23900,2020
Rec:476,23900,2020
Rec:477,23900,2020
Rec:478,23900,2020
Rec:479,23900,2020
Rec:480,23900,2020
Rec:481,23900,2020
Rec:482,23900,2020
Rec:483,23900,2020
Rec:484,23900,2020
Rec:485,23900,2020
Rec:486,23900,2020
Rec:487,23900,2020
Rec:488,23900,2020
Rec:489,23900,2020
Rec:490,23900,2020
Rec:491,23900,2020
Rec:492,23900,2020
Rec:493,23900,2020
Rec:494,23900,2020
Rec:495,23900,2020
Rec:496,23900,2020
Rec:497,23900,2020
Rec:498,23900,2020
